,client_id,birth_number,district_id
0,1,"""706213""",18
1,2,"""450204""",1
2,3,"""406009""",1
3,4,"""561201""",5
4,5,"""605703""",5
5,6,"""190922""",12
6,7,"""290125""",15
7,8,"""385221""",51
8,9,"""351016""",60
9,10,"""430501""",57
10,11,"""505822""",57
11,12,"""810220""",40
12,13,"""745529""",54
13,14,"""425622""",76
14,15,"""185828""",21
15,16,"""190225""",21
16,17,"""341013""",76
17,18,"""315405""",76
18,19,"""421228""",47
19,20,"""790104""",46
20,21,"""526029""",12
21,22,"""696011""",1
22,23,"""730529""",1
23,24,"""395729""",43
24,25,"""395423""",21
25,26,"""695420""",74
26,27,"""665326""",54
27,28,"""450929""",1
28,29,"""515911""",30
29,30,"""576009""",74
30,31,"""620209""",68
31,32,"""800728""",52
32,33,"""486204""",73
33,36,"""785717""",7
34,37,"""700810""",7
35,38,"""735723""",36
36,39,"""680125""",68
37,40,"""575122""",5
38,41,"""680827""",22
39,42,"""350817""",68
40,43,"""201028""",75
41,44,"""775111""",38
42,45,"""520826""",20
43,46,"""405130""",19
44,47,"""340714""",76
45,48,"""400209""",16
46,49,"""595511""",72
47,50,"""785730""",39
48,51,"""796202""",36
49,52,"""241212""",32
50,53,"""770505""",64
51,55,"""485918""",45
52,56,"""600331""",21
53,57,"""616217""",21
54,58,"""275429""",1
55,59,"""570218""",1
56,60,"""800219""",67
57,61,"""485806""",16
58,62,"""321208""",77
59,63,"""590604""",4
60,64,"""260422""",20
61,65,"""435527""",50
62,66,"""516110""",1
63,67,"""326111""",29
64,68,"""461214""",43
65,70,"""251222""",70
66,71,"""275206""",70
67,72,"""230113""",47
68,73,"""240220""",22
69,74,"""255726""",22
70,75,"""775919""",64
71,76,"""676001""",36
72,77,"""565218""",1
73,78,"""445613""",16
74,79,"""695310""",37
75,80,"""795225""",64
76,81,"""760429""",8
77,82,"""796225""",8
78,83,"""786225""",1
79,84,"""790505""",1
80,85,"""610827""",1
81,86,"""695720""",1
82,87,"""466117""",72
83,89,"""515505""",1
84,90,"""750817""",52
85,91,"""400807""",63
86,92,"""665612""",74
87,93,"""250216""",3
